Day,Prediction,Actual,Prev_Actual,Signal,Action,Portfolio Value
382,312.2551,0.60304993,0.6073364,buy,hold,97.23541017207792
383,312.2508,0.59876347,0.60304993,buy,hold,96.54426392439291
384,312.2508,0.60304993,0.59876347,buy,hold,97.23541017207792
385,312.2508,0.60304993,0.60304993,buy,hold,97.23541017207792
386,312.2551,0.60304993,0.60304993,buy,hold,97.23541017207792
387,312.2551,0.59876347,0.60304993,buy,hold,96.54426392439291
388,312.24652,0.594477,0.59876347,buy,hold,95.8531160643139
389,312.24652,0.59876347,0.594477,buy,hold,96.54426392439291
390,312.24222,0.59876347,0.59876347,buy,hold,96.54426392439291
391,312.24222,0.59876347,0.59876347,buy,hold,96.54426392439291
392,312.24652,0.59876347,0.59876347,buy,hold,96.54426392439291
393,312.24652,0.594477,0.59876347,buy,hold,95.8531160643139
394,312.24222,0.594477,0.594477,buy,hold,95.8531160643139
395,312.24222,0.594477,0.594477,buy,hold,95.8531160643139
396,312.24222,0.594477,0.594477,buy,hold,95.8531160643139
397,312.24222,0.594477,0.594477,buy,hold,95.8531160643139
398,312.24222,0.59876347,0.594477,buy,hold,96.54426392439291
399,312.24652,0.59876347,0.59876347,buy,hold,96.54426392439291
400,312.24652,0.59876347,0.59876347,buy,hold,96.54426392439291
401,312.24652,0.59876347,0.59876347,buy,hold,96.54426392439291
402,312.24652,0.58590406,0.59876347,buy,hold,94.47082034415583
403,312.23795,0.5816176,0.58590406,buy,hold,93.77967409647083
404,312.22937,0.5773311,0.5816176,buy,hold,93.08852139920974
405,312.22937,0.5773311,0.5773311,buy,hold,93.08852139920974
406,312.22507,0.5816176,0.5773311,buy,hold,93.77967409647083
407,312.22507,0.5816176,0.5816176,buy,hold,93.77967409647083
408,312.22937,0.5773311,0.5816176,buy,hold,93.08852139920974
409,312.22937,0.5687582,0.5773311,buy,hold,91.70623212862778
410,312.2208,0.5687582,0.5687582,buy,hold,91.70623212862778
411,312.2165,0.5687582,0.5687582,buy,hold,91.70623212862778
412,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
413,312.21222,0.57304466,0.5687582,buy,hold,92.39737837631277
414,312.2165,0.57304466,0.57304466,buy,hold,92.39737837631277
415,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
416,312.2165,0.5773311,0.57304466,buy,hold,93.08852139920974
417,312.22507,0.5773311,0.5773311,buy,hold,93.08852139920974
418,312.2208,0.57304466,0.5773311,buy,hold,92.39737837631277
419,312.2208,0.5773311,0.57304466,buy,hold,93.08852139920974
420,312.2208,0.57304466,0.5773311,buy,hold,92.39737837631277
421,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
422,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
423,312.2208,0.5773311,0.57304466,buy,hold,93.08852139920974
